x,y,z
4.369959252910071701e-02,-1.692194993502910416e-01,1.260000000000000009e-01
-3.070331015511240658e+00,-1.383340819283992440e+00,1.260000000000000009e-01
-5.815645792277511106e+00,-1.538722031424016645e+00,1.260000000000000009e-01
-8.287684085657755162e+00,-8.316352766816159647e-01,1.260000000000000009e-01
-1.058188524354000748e+01,5.416473040319604859e-01,1.260000000000000009e-01
-1.279368861381230893e+01,2.384853569805459372e+00,1.260000000000000009e-01
-1.501853354436270749e+01,4.501711379727629136e+00,1.260000000000000009e-01
-1.735185938307923692e+01,6.695948592887219775e+00,1.260000000000000009e-01
-1.988634279151515472e+01,8.773777255622103866e+00,1.260000000000000009e-01
-2.257385043852033135e+01,1.066802472488975262e+01,1.260000000000000009e-01
-2.516124587045018401e+01,1.249585565881703175e+01,1.260000000000000009e-01
-2.737922078614948518e+01,1.438897632196466247e+01,1.260000000000000009e-01
-2.895846688446307837e+01,1.647909297889338731e+01,1.260000000000000009e-01
-2.962968271554902344e+01,1.889790552358602582e+01,1.260000000000000009e-01
-2.923460710149941733e+01,2.167386492951986199e+01,1.260000000000000009e-01
-2.800766218390822360e+01,2.447029222107383717e+01,1.260000000000000009e-01
-2.623868730678402628e+01,2.692511424137697418e+01,1.260000000000000009e-01
-2.405560999833521052e+01,2.896180441937764272e+01,1.260000000000000009e-01
-2.153423294753295636e+01,3.059576319878224737e+01,1.260000000000000009e-01
-1.875033383374679019e+01,3.184243513006200033e+01,1.260000000000000009e-01
-1.577969033634617979e+01,3.271726476368810665e+01,1.260000000000000009e-01
-1.269808013470063912e+01,3.323569665013179986e+01,1.260000000000000009e-01
-9.581280908179660827e+00,3.341317533986427435e+01,1.260000000000000009e-01
-6.505070336152741106e+00,3.326514538335674587e+01,1.260000000000000009e-01
-3.545221292804212609e+00,3.280704764783339300e+01,1.260000000000000009e-01
-7.635304359477338432e-01,3.204361001948402077e+01,1.260000000000000009e-01
1.822863044594186466e+00,3.094532976049093875e+01,1.260000000000000009e-01
4.205720407310567843e+00,2.947588180491631604e+01,1.260000000000000009e-01
6.376802910690428483e+00,2.759894108682232172e+01,1.260000000000000009e-01
8.327871813222792241e+00,2.527818254027113198e+01,1.260000000000000009e-01
