x,y,z
8.446710705757141113e-01,2.212837696075439453e+00,3.247945547103881836e+00
5.179033756256103516e+00,5.338752269744873047e+00,3.504197597503662109e+00
6.768005371093750000e+00,6.751787662506103516e+00,3.115540981292724609e+00
1.121800613403320312e+01,1.129798603057861328e+01,1.512572288513183594e+00
1.568668651580810547e+01,1.566466522216796875e+01,1.446517705917358398e+00
2.021211814880371094e+01,2.020338058471679688e+01,2.121711730957031250e+00
2.477254867553710938e+01,2.478203201293945312e+01,2.126223325729370117e+00
2.622865486145019531e+01,2.614742469787597656e+01,2.044607639312744141e+00
3.074490356445312500e+01,3.072793579101562500e+01,2.163679599761962891e+00
3.387510681152343750e+01,3.531249618530273438e+01,2.325983524322509766e+00
3.526075363159179688e+01,3.666908264160156250e+01,2.489698410034179688e+00
3.972445297241210938e+01,4.125820922851562500e+01,2.245427370071411133e+00
4.279623794555664062e+01,4.438848114013671875e+01,1.376718997955322266e+00
4.735279464721679688e+01,4.863054656982421875e+01,5.995727777481079102e-01
