x,y,z
-5.370372533798217773e-01,-2.951508164405822754e-01,1.256742477416992188e-01
7.293352484703063965e-01,8.849027156829833984e-01,1.256742477416992188e-01
2.450457811355590820e+00,2.134859323501586914e+00,1.256742477416992188e-01
4.800484657287597656e+00,3.990009307861328125e+00,1.256742477416992188e-01
6.803370952606201172e+00,5.729990482330322266e+00,1.256742477416992188e-01
9.059864044189453125e+00,7.492935180664062500e+00,1.256742477416992188e-01
9.669680595397949219e+00,8.107898712158203125e+00,1.256742477416992188e-01
1.211483764648437500e+01,9.936390876770019531e+00,1.256742477416992188e-01
1.271961402893066406e+01,1.046898365020751953e+01,1.256742477416992188e-01
1.511437416076660156e+01,1.232202148437500000e+01,1.256742477416992188e-01
1.753009796142578125e+01,1.410586833953857422e+01,3.330909013748168945e-01
1.992732620239257812e+01,1.595996665954589844e+01,1.256742477416992188e-01
2.225017929077148438e+01,1.776973152160644531e+01,1.256742477416992188e-01
2.464901924133300781e+01,1.951220321655273438e+01,1.256742477416992188e-01
2.702254676818847656e+01,2.131819152832031250e+01,1.256742477416992188e-01
2.883879089355468750e+01,2.254796600341796875e+01,1.256742477416992188e-01
