x,y,z
-1.479674053192138672e+01,-1.189723491668701172e+01,0.000000000000000000e+00
-1.422288322448730469e+01,-1.192551994323730469e+01,0.000000000000000000e+00
-1.220300769805908203e+01,-1.137619495391845703e+01,0.000000000000000000e+00
-1.078408718109130859e+01,-1.099214553833007812e+01,0.000000000000000000e+00
-9.282148361206054688e+00,-1.049342346191406250e+01,0.000000000000000000e+00
-7.224377155303955078e+00,-9.458278656005859375e+00,0.000000000000000000e+00
-6.670123577117919922e+00,-9.471291542053222656e+00,0.000000000000000000e+00
-4.732406616210937500e+00,-8.511567115783691406e+00,0.000000000000000000e+00
-2.712658882141113281e+00,-7.488285541534423828e+00,0.000000000000000000e+00
-1.300963640213012695e+00,-6.963427066802978516e+00,0.000000000000000000e+00
-2.029888927936553955e-01,-6.452296257019042969e+00,0.000000000000000000e+00
1.267285585403442383e+00,-5.435028076171875000e+00,0.000000000000000000e+00
3.198934793472290039e+00,-4.517287254333496094e+00,0.000000000000000000e+00
4.791114330291748047e+00,-3.946027994155883789e+00,0.000000000000000000e+00
6.720371246337890625e+00,-2.433388948440551758e+00,0.000000000000000000e+00
7.792461872100830078e+00,-9.610803723335266113e-01,0.000000000000000000e+00
8.683361053466796875e+00,1.137258410453796387e+00,0.000000000000000000e+00
9.210207939147949219e+00,2.542451381683349609e+00,0.000000000000000000e+00
1.073333358764648438e+01,3.574916124343872070e+00,0.000000000000000000e+00
1.225675106048583984e+01,4.580676078796386719e+00,0.000000000000000000e+00
1.426002693176269531e+01,5.596634864807128906e+00,0.000000000000000000e+00
1.628551483154296875e+01,6.540454387664794922e+00,0.000000000000000000e+00
1.829301452636718750e+01,7.527980804443359375e+00,0.000000000000000000e+00
2.018412780761718750e+01,8.553875923156738281e+00,0.000000000000000000e+00
2.122938346862792969e+01,9.022040367126464844e+00,0.000000000000000000e+00
2.333316993713378906e+01,9.968415260314941406e+00,0.000000000000000000e+00
2.525593376159667969e+01,1.105557060241699219e+01,0.000000000000000000e+00
2.624641799926757812e+01,1.154233264923095703e+01,0.000000000000000000e+00
2.781386756896972656e+01,1.262747192382812500e+01,0.000000000000000000e+00
2.874862098693847656e+01,1.303219223022460938e+01,0.000000000000000000e+00
