x,y,z
-1.006168079376220703e+01,-9.985400199890136719e+00,2.779509872198104858e-03
-9.682883262634277344e+00,-9.268189430236816406e+00,1.222137734293937683e-02
-9.285531044006347656e+00,-8.553288459777832031e+00,4.173476248979568481e-03
-8.907097816467285156e+00,-7.652659416198730469e+00,1.665749400854110718e-02
-8.053486824035644531e+00,-6.894503116607666016e+00,6.171800941228866577e-02
-8.030691146850585938e+00,-6.455396175384521484e+00,5.024327710270881653e-02
-8.064711570739746094e+00,-5.656147956848144531e+00,2.637962251901626587e-02
-7.553626537322998047e+00,-4.761858940124511719e+00,4.284881055355072021e-03
-7.177957057952880859e+00,-4.099420547485351562e+00,4.672709479928016663e-02
-6.444613933563232422e+00,-3.273445844650268555e+00,4.275261610746383667e-02
-5.657665252685546875e+00,-2.845695018768310547e+00,1.941372454166412354e-02
-5.240984916687011719e+00,-2.461912631988525391e+00,5.420953035354614258e-03
-4.506933212280273438e+00,-1.704607248306274414e+00,1.271373033523559570e-02
-3.619274139404296875e+00,-1.159156084060668945e+00,5.029789358377456665e-02
-3.266090154647827148e+00,-4.491034150123596191e-01,1.471006125211715698e-02
-2.469453573226928711e+00,3.853529989719390869e-01,4.689059406518936157e-02
-1.621163606643676758e+00,1.159944653511047363e+00,4.851058498024940491e-02
-8.440917134284973145e-01,1.951906919479370117e+00,1.014946773648262024e-02
-2.521891519427299500e-02,2.366094589233398438e+00,8.409932255744934082e-03
6.712130308151245117e-01,2.687951564788818359e+00,2.416854351758956909e-02
1.185934662818908691e+00,3.161508321762084961e+00,1.964794471859931946e-02
1.988238692283630371e+00,3.909264802932739258e+00,4.422025755047798157e-02
2.673272371292114258e+00,4.374112129211425781e+00,1.406716182827949524e-02
3.528810501098632812e+00,3.922043800354003906e+00,1.002659648656845093e-02
3.965527534484863281e+00,3.903013467788696289e+00,3.830516710877418518e-02
4.411828994750976562e+00,4.751093864440917969e+00,2.631146088242530823e-02
5.558665752410888672e+00,4.809743881225585938e+00,6.292302161455154419e-03
5.987570285797119141e+00,4.713935375213623047e+00,4.978436976671218872e-03
7.148374557495117188e+00,4.806859970092773438e+00,1.432295516133308411e-02
7.498106002807617188e+00,4.726171493530273438e+00,3.254473209381103516e-03
8.334428787231445312e+00,5.204275608062744141e+00,3.857149928808212280e-02
8.381431579589843750e+00,5.594191074371337891e+00,1.986044645309448242e-02
8.751513481140136719e+00,6.722517490386962891e+00,1.849397271871566772e-02
9.569100379943847656e+00,7.542081832885742188e+00,5.366440117359161377e-02
1.073722267150878906e+01,7.512300968170166016e+00,7.956975698471069336e-02
1.157797718048095703e+01,7.489096164703369141e+00,4.811196029186248779e-02
1.202144241333007812e+01,7.525543212890625000e+00,7.173195481300354004e-03
1.280042648315429688e+01,7.491831302642822266e+00,2.319620922207832336e-02
1.396821594238281250e+01,7.524948120117187500e+00,7.722459733486175537e-03
1.504179763793945312e+01,7.484745979309082031e+00,1.659424602985382080e-02
1.601686096191406250e+01,7.584840774536132812e+00,3.871308267116546631e-02
1.669378662109375000e+01,7.936492919921875000e+00,7.868002355098724365e-02
1.746321868896484375e+01,8.376548767089843750e+00,3.834366053342819214e-02
1.756864929199218750e+01,9.166598320007324219e+00,4.519881308078765869e-02
1.797009468078613281e+01,9.542918205261230469e+00,5.409337580204010010e-02
1.916036033630371094e+01,9.513043403625488281e+00,1.290011033415794373e-02
1.958190917968750000e+01,9.950970649719238281e+00,1.426698267459869385e-02
2.031962394714355469e+01,1.035160636901855469e+01,3.699287772178649902e-03
2.077159309387207031e+01,1.036804389953613281e+01,1.385798305273056030e-02
2.153977012634277344e+01,1.038753795623779297e+01,1.736909151077270508e-02
2.234519195556640625e+01,1.080344581604003906e+01,1.348881423473358154e-02
2.271351623535156250e+01,1.072705841064453125e+01,2.063571661710739136e-02
2.388479423522949219e+01,1.084390258789062500e+01,5.988791584968566895e-02
2.429973983764648438e+01,1.122996711730957031e+01,6.093580275774002075e-02
2.435615348815917969e+01,1.230935764312744141e+01,7.400453090667724609e-02
2.473204994201660156e+01,1.315342330932617188e+01,9.157115221023559570e-02
2.475913810729980469e+01,1.356235980987548828e+01,4.508265107870101929e-02
2.594652366638183594e+01,1.348610973358154297e+01,5.880662053823471069e-02
2.636906433105468750e+01,1.357758140563964844e+01,7.143168896436691284e-02
2.716339492797851562e+01,1.439187908172607422e+01,6.277218461036682129e-02
2.670413589477539062e+01,1.516382884979248047e+01,5.992029607295989990e-02
2.752843093872070312e+01,1.599381828308105469e+01,1.366709917783737183e-02
2.839618682861328125e+01,1.672145843505859375e+01,3.152386844158172607e-02
2.876621627807617188e+01,1.757660102844238281e+01,1.814960688352584839e-02
2.911064147949218750e+01,1.843158912658691406e+01,8.345723152160644531e-02
2.946171188354492188e+01,1.910400962829589844e+01,7.940696179866790771e-02
2.996520042419433594e+01,1.959387969970703125e+01,1.711492985486984253e-02
3.044900512695312500e+01,2.031422233581542969e+01,1.038660109043121338e-02
3.079109573364257812e+01,2.067814064025878906e+01,6.442338973283767700e-02
3.119052124023437500e+01,2.149718666076660156e+01,4.800953343510627747e-02
3.166037368774414062e+01,2.232729530334472656e+01,4.958612471818923950e-02
3.198123741149902344e+01,2.276468086242675781e+01,8.437852561473846436e-02
3.274510955810546875e+01,2.353226661682128906e+01,4.855272173881530762e-02
3.315751647949218750e+01,2.399799346923828125e+01,2.668106555938720703e-02
3.358095550537109375e+01,2.472503852844238281e+01,3.620254248380661011e-02
3.441966629028320312e+01,2.522335243225097656e+01,2.465671300888061523e-02
3.472532653808593750e+01,2.557783126831054688e+01,5.674950405955314636e-02
3.556064987182617188e+01,2.638239669799804688e+01,4.687241092324256897e-02
3.638179779052734375e+01,2.713802909851074219e+01,5.367991328239440918e-02
3.674520874023437500e+01,2.720033645629882812e+01,2.521616220474243164e-02
3.753305435180664062e+01,2.756567001342773438e+01,2.808075398206710815e-02
