x,y,z
-3.869906812906265259e-02,-5.595646798610687256e-02,5.224272608757019043e-03
8.169251084327697754e-01,-1.100219562649726868e-01,1.549440622329711914e-02
1.882475852966308594e+00,3.303904831409454346e-01,1.620953157544136047e-02
2.720502853393554688e+00,8.080611228942871094e-01,6.208271533250808716e-02
3.219563484191894531e+00,1.198990464210510254e+00,4.558064043521881104e-02
3.903386831283569336e+00,2.008812904357910156e+00,1.138044521212577820e-02
3.534240961074829102e+00,2.813996315002441406e+00,8.271723985671997070e-02
3.965527534484863281e+00,3.903013467788696289e+00,3.830516710877418518e-02
4.336761951446533203e+00,3.989316225051879883e+00,4.601718857884407043e-02
5.462805747985839844e+00,4.024971008300781250e+00,2.927430719137191772e-02
6.033071041107177734e+00,4.332494735717773438e+00,6.658293306827545166e-03
7.143292903900146484e+00,4.350329399108886719e+00,4.602834582328796387e-03
8.327419281005859375e+00,4.361905097961425781e+00,1.339918747544288635e-02
8.750577926635742188e+00,4.328978538513183594e+00,3.533906489610671997e-02
9.564319610595703125e+00,4.358874320983886719e+00,4.905395209789276123e-02
1.028940677642822266e+01,5.163766384124755859e+00,8.656608313322067261e-02
1.077942943572998047e+01,5.944175243377685547e+00,4.976203292608261108e-02
1.075817108154296875e+01,7.071057319641113281e+00,3.971872478723526001e-02
1.157797718048095703e+01,7.489096164703369141e+00,4.811196029186248779e-02
1.202144241333007812e+01,7.525543212890625000e+00,7.173195481300354004e-03
1.280042648315429688e+01,7.491831302642822266e+00,2.319620922207832336e-02
1.396821594238281250e+01,7.524948120117187500e+00,7.722459733486175537e-03
1.504179763793945312e+01,7.484745979309082031e+00,1.659424602985382080e-02
1.601686096191406250e+01,7.584840774536132812e+00,3.871308267116546631e-02
1.669378662109375000e+01,7.936492919921875000e+00,7.868002355098724365e-02
1.746321868896484375e+01,8.376548767089843750e+00,3.834366053342819214e-02
1.756864929199218750e+01,9.166598320007324219e+00,4.519881308078765869e-02
1.797009468078613281e+01,9.542918205261230469e+00,5.409337580204010010e-02
1.916036033630371094e+01,9.513043403625488281e+00,1.290011033415794373e-02
1.958190917968750000e+01,9.950970649719238281e+00,1.426698267459869385e-02
2.031962394714355469e+01,1.035160636901855469e+01,3.699287772178649902e-03
2.077159309387207031e+01,1.036804389953613281e+01,1.385798305273056030e-02
2.153977012634277344e+01,1.038753795623779297e+01,1.736909151077270508e-02
2.234519195556640625e+01,1.080344581604003906e+01,1.348881423473358154e-02
2.271351623535156250e+01,1.072705841064453125e+01,2.063571661710739136e-02
2.388479423522949219e+01,1.084390258789062500e+01,5.988791584968566895e-02
2.429973983764648438e+01,1.122996711730957031e+01,6.093580275774002075e-02
2.435615348815917969e+01,1.230935764312744141e+01,7.400453090667724609e-02
2.473204994201660156e+01,1.315342330932617188e+01,9.157115221023559570e-02
2.475913810729980469e+01,1.356235980987548828e+01,4.508265107870101929e-02
2.594652366638183594e+01,1.348610973358154297e+01,5.880662053823471069e-02
2.636906433105468750e+01,1.357758140563964844e+01,7.143168896436691284e-02
2.716339492797851562e+01,1.439187908172607422e+01,6.277218461036682129e-02
2.670413589477539062e+01,1.516382884979248047e+01,5.992029607295989990e-02
2.752843093872070312e+01,1.599381828308105469e+01,1.366709917783737183e-02
2.839618682861328125e+01,1.672145843505859375e+01,3.152386844158172607e-02
2.876621627807617188e+01,1.757660102844238281e+01,1.814960688352584839e-02
2.911064147949218750e+01,1.843158912658691406e+01,8.345723152160644531e-02
2.946171188354492188e+01,1.910400962829589844e+01,7.940696179866790771e-02
2.996520042419433594e+01,1.959387969970703125e+01,1.711492985486984253e-02
3.044900512695312500e+01,2.031422233581542969e+01,1.038660109043121338e-02
3.079109573364257812e+01,2.067814064025878906e+01,6.442338973283767700e-02
3.119052124023437500e+01,2.149718666076660156e+01,4.800953343510627747e-02
3.166037368774414062e+01,2.232729530334472656e+01,4.958612471818923950e-02
3.198123741149902344e+01,2.276468086242675781e+01,8.437852561473846436e-02
3.274510955810546875e+01,2.353226661682128906e+01,4.855272173881530762e-02
3.315751647949218750e+01,2.399799346923828125e+01,2.668106555938720703e-02
3.358095550537109375e+01,2.472503852844238281e+01,3.620254248380661011e-02
3.441966629028320312e+01,2.522335243225097656e+01,2.465671300888061523e-02
3.472532653808593750e+01,2.557783126831054688e+01,5.674950405955314636e-02
3.556064987182617188e+01,2.638239669799804688e+01,4.687241092324256897e-02
3.638179779052734375e+01,2.713802909851074219e+01,5.367991328239440918e-02
3.674520874023437500e+01,2.720033645629882812e+01,2.521616220474243164e-02
3.753305435180664062e+01,2.756567001342773438e+01,2.808075398206710815e-02
