x,y,z
3.055865526199340820e+00,4.012784481048583984e+00,1.256741285324096680e-01
4.270576953887939453e+00,5.716144084930419922e+00,1.256741285324096680e-01
5.519540309906005859e+00,7.522451400756835938e+00,1.256741285324096680e-01
6.034580707550048828e+00,9.996323585510253906e+00,1.973736584186553955e-01
5.534626960754394531e+00,1.295145416259765625e+01,1.256741285324096680e-01
4.373460769653320312e+00,1.416148567199707031e+01,1.256741285324096680e-01
3.105691909790039062e+00,1.535039806365966797e+01,1.256741285324096680e-01
1.853694677352905273e+00,1.596114063262939453e+01,1.256741285324096680e-01
-1.088617205619812012e+00,1.654102325439453125e+01,1.256741285324096680e-01
-1.679898738861083984e+00,1.655752372741699219e+01,1.256741285324096680e-01
-3.505652189254760742e+00,1.418122482299804688e+01,1.256741285324096680e-01
-4.688124656677246094e+00,1.176958370208740234e+01,1.257557272911071777e-01
-7.100997447967529297e+00,1.113888549804687500e+01,1.256741285324096680e-01
-9.510124206542968750e+00,1.046153450012207031e+01,1.256741285324096680e-01
-1.132784652709960938e+01,9.849188804626464844e+00,1.256741285324096680e-01
-1.365962314605712891e+01,8.716567039489746094e+00,2.059441208839416504e-01
-1.615504264831542969e+01,9.410975456237792969e+00,1.256741285324096680e-01
-1.849926567077636719e+01,1.114310836791992188e+01,1.256741285324096680e-01
-1.912692260742187500e+01,1.173796176910400391e+01,1.256741285324096680e-01
-2.035693168640136719e+01,1.356021022796630859e+01,1.256741285324096680e-01
-2.159653663635253906e+01,1.587558841705322266e+01,1.256741285324096680e-01
-2.272648239135742188e+01,1.774747276306152344e+01,1.256741285324096680e-01
-2.331860351562500000e+01,1.890095520019531250e+01,1.256741285324096680e-01
-2.388632392883300781e+01,2.072163581848144531e+01,1.256741285324096680e-01
-2.283908653259277344e+01,2.320106506347656250e+01,1.256741285324096680e-01
-2.145138931274414062e+01,2.493055152893066406e+01,1.256741285324096680e-01
-2.092081069946289062e+01,2.559351158142089844e+01,1.256741285324096680e-01
-1.853333091735839844e+01,2.625523567199707031e+01,1.256741285324096680e-01
-1.665962219238281250e+01,2.681597900390625000e+01,1.256741285324096680e-01
-1.380714035034179688e+01,2.682865142822265625e+01,1.256741285324096680e-01
-1.135713195800781250e+01,2.675685882568359375e+01,1.256741285324096680e-01
-1.065244293212890625e+01,2.673146438598632812e+01,1.256741285324096680e-01
-7.812022686004638672e+00,2.668195533752441406e+01,1.256741285324096680e-01
-6.520851135253906250e+00,2.674257850646972656e+01,1.256741285324096680e-01
-3.575209379196166992e+00,2.727833366394042969e+01,1.462377905845642090e-01
-1.075891494750976562e+00,2.732832908630371094e+01,1.256741285324096680e-01
1.835538864135742188e+00,2.730091094970703125e+01,1.256741285324096680e-01
4.265264987945556641e+00,2.676146507263183594e+01,1.256741285324096680e-01
6.654286384582519531e+00,2.615302848815917969e+01,1.256741285324096680e-01
