x,y,z
4.874388277530670166e-01,-1.994478553533554077e-01,1.256742477416992188e-01
2.032331466674804688e+00,2.274423837661743164e+00,1.256742477416992188e-01
2.970435619354248047e+00,3.770487308502197266e+00,1.256742477416992188e-01
4.478893756866455078e+00,6.276001453399658203e+00,1.256742477416992188e-01
6.534995079040527344e+00,9.792379379272460938e+00,1.615779399871826172e-01
8.035914421081542969e+00,1.231425476074218750e+01,1.256742477416992188e-01
1.010168266296386719e+01,1.583285999298095703e+01,1.256742477416992188e-01
1.157237434387207031e+01,1.830796813964843750e+01,1.256742477416992188e-01
1.360885906219482422e+01,2.182612419128417969e+01,1.256742477416992188e-01
1.454305362701416016e+01,2.330388259887695312e+01,1.256742477416992188e-01
1.609400558471679688e+01,2.579778671264648438e+01,1.256742477416992188e-01
1.711342239379882812e+01,2.761014747619628906e+01,1.256742477416992188e-01
1.860063171386718750e+01,3.028779983520507812e+01,1.256742477416992188e-01
2.049362373352050781e+01,3.375091171264648438e+01,1.256742477416992188e-01
2.252074623107910156e+01,3.729693984985351562e+01,1.256742477416992188e-01
2.403052520751953125e+01,3.981961822509765625e+01,1.256742477416992188e-01
2.602606773376464844e+01,4.328042221069335938e+01,1.256742477416992188e-01
2.804606819152832031e+01,4.675446319580078125e+01,1.256742477416992188e-01
2.951185035705566406e+01,4.971583938598632812e+01,1.256742477416992188e-01
