x,y,z
4.369959252910071701e-02,-1.692194993502910416e-01,1.260000000000000009e-01
-2.870157020970756645e-01,-3.438686922103473265e-01,1.260000000000000009e-01
-6.131848842795191157e-01,-5.061640347242656324e-01,1.260000000000000009e-01
-9.349033933661173856e-01,-6.563017990329570450e-01,1.260000000000000009e-01
-1.252266668704758779e+00,-7.944782572773332330e-01,1.260000000000000009e-01
-1.565370149643330988e+00,-9.208896815983046436e-01,1.260000000000000009e-01
-1.874309275529722374e+00,-1.035732344136783167e+00,1.260000000000000009e-01
-2.179179485711821407e+00,-1.139202517033680362e+00,1.260000000000000009e-01
-2.480076219537514781e+00,-1.231496472429906230e+00,1.260000000000000009e-01
-2.777094916354692522e+00,-1.312810482466373774e+00,1.260000000000000009e-01
-3.070331015511240658e+00,-1.383340819283992440e+00,1.260000000000000009e-01
-3.359879956355047881e+00,-1.443283755023674786e+00,1.260000000000000009e-01
-3.645837178234003328e+00,-1.492835561826331370e+00,1.260000000000000009e-01
-3.928298120495993473e+00,-1.532192511832873860e+00,1.260000000000000009e-01
-4.207358222488906563e+00,-1.561550877184213482e+00,1.260000000000000009e-01
-4.483112923560631735e+00,-1.581106930021261014e+00,1.260000000000000009e-01
-4.755657663059055906e+00,-1.591056942484927905e+00,1.260000000000000009e-01
-5.025087880332068657e+00,-1.591597186716126044e+00,1.260000000000000009e-01
-5.291499014727556016e+00,-1.582923934855765324e+00,1.260000000000000009e-01
-5.554986505593408452e+00,-1.565233459044759190e+00,1.260000000000000009e-01
-5.815645792277511106e+00,-1.538722031424016645e+00,1.260000000000000009e-01
-6.073572314127753558e+00,-1.503585924134449803e+00,1.260000000000000009e-01
-6.328861510492023612e+00,-1.460021409316970553e+00,1.260000000000000009e-01
-6.581608820718211739e+00,-1.408224759112489011e+00,1.260000000000000009e-01
-6.831909684154202189e+00,-1.348392245661916622e+00,1.260000000000000009e-01
-7.079859540147883656e+00,-1.280720141106165499e+00,1.260000000000000009e-01
-7.325553828047144833e+00,-1.205404717586146868e+00,1.260000000000000009e-01
-7.569087987199876189e+00,-1.122642247242771063e+00,1.260000000000000009e-01
-7.810557456953960198e+00,-1.032629002216949310e+00,1.260000000000000009e-01
-8.050057676657292660e+00,-9.355612546495938320e-01,1.260000000000000009e-01
-8.287684085657755162e+00,-8.316352766816159647e-01,1.260000000000000009e-01
-8.523532123303235508e+00,-7.210473404539254894e-01,1.260000000000000009e-01
-8.757697228941625056e+00,-6.039937181074339634e-01,1.260000000000000009e-01
-8.990274841920813387e+00,-4.806706817830543876e-01,1.260000000000000009e-01
-9.221360401588682976e+00,-3.512745036216957106e-01,1.260000000000000009e-01
-9.451049347293125180e+00,-2.160014557642713218e-01,1.260000000000000009e-01
-9.679437118382029581e+00,-7.504781035169016956e-02,1.260000000000000009e-01
-9.906619154203280431e+00,7.139016047513435659e-02,1.260000000000000009e-01
-1.013269089410476731e+01,2.231161845752919204e-01,1.260000000000000009e-01
-1.035774777743437980e+01,3.799339898078717415e-01,1.260000000000000009e-01
-1.058188524354000748e+01,5.416473040319604859e-01,1.260000000000000009e-01
-1.080519873176953283e+01,7.080598551066494828e-01,1.260000000000000009e-01
-1.102778368147084542e+01,8.789753708910266194e-01,1.260000000000000009e-01
-1.124973553199183662e+01,1.054197579244180449e+00,1.260000000000000009e-01
-1.147114972268039246e+01,1.233530208025198860e+00,1.260000000000000009e-01
-1.169212169288439895e+01,1.416776985093173735e+00,1.260000000000000009e-01
-1.191274688195174924e+01,1.603741638307190076e+00,1.260000000000000009e-01
-1.213312072923032403e+01,1.794227895526337324e+00,1.260000000000000009e-01
-1.235333867406802000e+01,1.988039484609706475e+00,1.260000000000000009e-01
-1.257349615581271962e+01,2.184980133416384085e+00,1.260000000000000009e-01
-1.279368861381230893e+01,2.384853569805459372e+00,1.260000000000000009e-01
-1.301401148741468461e+01,2.587463521636021113e+00,1.260000000000000009e-01
-1.323456021596772558e+01,2.792613716767160525e+00,1.260000000000000009e-01
-1.345543023881932498e+01,3.000107883057961722e+00,1.260000000000000009e-01
-1.367671699531737062e+01,3.209749748367516808e+00,1.260000000000000009e-01
-1.389851592480974496e+01,3.421343040554913006e+00,1.260000000000000009e-01
-1.412092246664434469e+01,3.634691487479240202e+00,1.260000000000000009e-01
-1.434403206016904697e+01,3.849598816999586504e+00,1.260000000000000009e-01
-1.456794014473175736e+01,4.065868756975042686e+00,1.260000000000000009e-01
-1.479274215968034412e+01,4.283305035264692862e+00,1.260000000000000009e-01
-1.501853354436270749e+01,4.501711379727629136e+00,1.260000000000000009e-01
-1.524540973812673172e+01,4.720891518222940064e+00,1.260000000000000009e-01
-1.547346618032030463e+01,4.940649178609714198e+00,1.260000000000000009e-01
-1.570279831029131579e+01,5.160788088747040092e+00,1.260000000000000009e-01
-1.593350156738765477e+01,5.381111976494004523e+00,1.260000000000000009e-01
-1.616567139095720052e+01,5.601424569709699597e+00,1.260000000000000009e-01
-1.639940322034785680e+01,5.821529596253213867e+00,1.260000000000000009e-01
-1.663479249490749368e+01,6.041230783983633223e+00,1.260000000000000009e-01
-1.687193465398401315e+01,6.260331860760047107e+00,1.260000000000000009e-01
-1.711092513692529948e+01,6.478636554441547624e+00,1.260000000000000009e-01
-1.735185938307923692e+01,6.695948592887219775e+00,1.260000000000000009e-01
-1.759483283179371682e+01,6.912071703956154778e+00,1.260000000000000009e-01
-1.783994092241662344e+01,7.126809615507437634e+00,1.260000000000000009e-01
-1.808727909429585168e+01,7.339966055400162226e+00,1.260000000000000009e-01
-1.833694278677928224e+01,7.551344751493412666e+00,1.260000000000000009e-01
-1.858902743921481360e+01,7.760749431646281948e+00,1.260000000000000009e-01
-1.884362849095031933e+01,7.967983823717853298e+00,1.260000000000000009e-01
-1.910083020649661023e+01,8.172861703898607999e+00,1.260000000000000009e-01
-1.936052692680673815e+01,8.375367626246386976e+00,1.260000000000000009e-01
