timestep,v,omega,controller,solve_time_ms
0,1.2000537379900222,-0.0303176522494745,MPC,84.89520000148332
1,1.4523087774439127,-0.05367654321238934,MPC,66.25940000230912
2,1.4444695563995733,-0.05039053693693918,MPC,58.782200001587626
3,1.437577124364446,-0.05002014057760239,MPC,109.8667000005662
4,1.4313953170884073,-0.051627025019450754,MPC,61.700599999312544
5,1.425731220012344,-0.054718646725894354,MPC,62.76599999910104
6,1.4204273860821264,-0.05894475769563506,MPC,66.00629999957164
7,1.4153554456325987,-0.0640436348746994,MPC,59.07400000069174
8,1.4104108660987595,-0.06982026004476019,MPC,65.66509999902337
9,1.405508658380332,-0.07612988981882132,MPC,60.22400000074413
10,1.4005798610725855,-0.08286568572540988,MPC,65.95050000032643
11,1.3955686629403905,-0.08994940241454488,MPC,59.53600000066217
12,1.390430048550031,-0.09732437921599565,MPC,62.757399999100016
13,1.385127872428828,-0.10495026652749848,MPC,68.06990000040969
14,1.3796332840721235,-0.11279905882108734,MPC,81.63609999974142
15,1.3739234401046663,-0.12085211175024126,MPC,87.22459999989951
16,1.3679804514148006,-0.129097900453113,MPC,59.6006000014313
17,1.3617905225354565,-0.1375303361098236,MPC,72.01589999749558
18,1.3553432483027585,-0.14614750297163978,MPC,96.99619999810238
19,1.3486310391804501,-0.15495071208878117,MPC,89.7923999982595
20,1.3416486518454156,-0.16394379357292485,MPC,95.39260000019567
21,1.3343928058925294,-0.17313256851284667,MPC,78.5481000020809
22,1.1788747443590533,-0.17202351869922522,MPC,279.6656999998959
23,0.6934792852216486,-0.17065555896995793,MPC,111.4860999987286
24,0.10022483239630059,-0.17788806042049876,MPC,142.58949999930337
25,0.007538786613718274,-0.18487389023965084,MPC,174.65459999948507
26,-0.0070496366305444385,-0.19302670464184846,MPC,142.0042999998259
27,-0.009705136293903155,-0.20235110137234028,MPC,127.83950000084587
28,1.3676192851340505,-0.23950010334971208,MPC,132.54329999836045
29,-1.1802110890570088,-0.22018219239125084,MPC,134.33330000043497
30,-0.18487562674565708,-0.23055512017269203,MPC,317.6090999986627
31,-0.0378785009600299,-0.2439251900980843,MPC,312.9527000019152
32,-0.01638302696615062,-0.2581168826074525,MPC,326.697200001945
33,-0.013600095323951554,-0.27273246421822095,MPC,417.26550000021234
34,-0.013574601138946846,-0.28760322019597384,MPC,452.73789999919245
35,-0.013933333493942013,-0.3027557426723931,MPC,387.2689999989234
36,-0.01432209268877084,-0.31822552431444795,MPC,375.5014000016672
37,-0.014688062203775621,-0.3340435648237008,MPC,330.83450000049197
38,-0.015023170734415593,-0.35023697058556746,MPC,433.8530000022729
39,-0.015325924863458677,-0.36683004163367955,MPC,489.03059999793186
40,-0.015595776591891583,-0.3838451620995474,MPC,331.15019999968354
41,-0.015832311636502328,-0.4013034637680107,MPC,449.8472999985097
42,-0.016035144184377813,-0.4192253034545863,MPC,208.07659999991301
43,-0.016203910963397992,-0.43763059332086346,MPC,332.5533999995969
44,-0.016338276327451343,-0.45653901415983605,MPC,429.89139999917825
