[2026-04-30 23:19:07.772] [INFO] [mpc_sim] SimulationLogger initialized. Log file: logs\simulation_20260430_231907.log
[2026-04-30 23:19:09.708] [INFO] [mpc_sim] k=22 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:09.822] [INFO] [mpc_sim] k=23 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:09.968] [INFO] [mpc_sim] k=24 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:10.144] [INFO] [mpc_sim] k=25 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:10.289] [INFO] [mpc_sim] k=26 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:10.419] [INFO] [mpc_sim] k=27 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:10.692] [INFO] [mpc_sim] k=29 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:11.021] [INFO] [mpc_sim] k=30 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:11.346] [INFO] [mpc_sim] k=31 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:11.684] [INFO] [mpc_sim] k=32 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:12.113] [INFO] [mpc_sim] k=33 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:12.578] [INFO] [mpc_sim] k=34 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:12.972] [INFO] [mpc_sim] k=35 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:13.356] [INFO] [mpc_sim] k=36 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:13.695] [INFO] [mpc_sim] k=37 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:14.134] [INFO] [mpc_sim] k=38 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:14.655] [INFO] [mpc_sim] k=39 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:14.989] [INFO] [mpc_sim] k=40 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:15.444] [INFO] [mpc_sim] k=41 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:15.668] [INFO] [mpc_sim] k=42 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:16.024] [INFO] [mpc_sim] k=43 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:16.459] [INFO] [mpc_sim] k=44 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:16.735] [INFO] [mpc_sim] k=45 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:16.991] [INFO] [mpc_sim] k=46 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:17.482] [INFO] [mpc_sim] k=47 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:17.931] [INFO] [mpc_sim] k=48 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:18.423] [INFO] [mpc_sim] k=49 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:18.818] [INFO] [mpc_sim] k=50 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:19.181] [INFO] [mpc_sim] k=51 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:19.529] [INFO] [mpc_sim] k=52 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:19.818] [INFO] [mpc_sim] k=53 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:20.187] [INFO] [mpc_sim] k=54 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:20.552] [INFO] [mpc_sim] k=55 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:20.909] [INFO] [mpc_sim] k=56 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:21.204] [INFO] [mpc_sim] k=57 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:21.580] [INFO] [mpc_sim] k=58 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:21.973] [INFO] [mpc_sim] k=59 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:22.545] [INFO] [mpc_sim] k=60 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:22.827] [INFO] [mpc_sim] k=61 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:23.098] [INFO] [mpc_sim] k=62 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:23.382] [INFO] [mpc_sim] k=63 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:23.654] [INFO] [mpc_sim] k=64 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:23.914] [INFO] [mpc_sim] k=65 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:24.164] [INFO] [mpc_sim] k=66 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:24.384] [INFO] [mpc_sim] k=67 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:24.630] [INFO] [mpc_sim] k=68 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:24.908] [INFO] [mpc_sim] k=69 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:25.120] [INFO] [mpc_sim] k=70 | Constraint: slack_activated | reason=feasibility
[2026-04-30 23:19:25.322] [INFO] [mpc_sim] k=71 | Constraint: slack_activated | reason=feasibility
