timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
0,0.0,0.0,0.7853356621996614,0.0,0.0,0.7853356621996614,0.0,0.0,0.0,0.0
1,0.013332777787222137,0.013331111262216722,0.7852543927973967,0.01999966666833333,0.01999866669333308,0.7852481546488611,-0.006666888881111192,-0.006667555431116358,6.238148535619992e-06,0.009428878071891186
2,0.033330653150424994,0.033323237238891266,0.7850730400233666,0.03999733338666616,0.03998933418663416,0.7850230608876738,-0.006666680236241167,-0.006666096947742894,4.997913569282364e-05,0.009427829644356135
3,0.053324654893694576,0.053304242172653137,0.7847706061869022,0.05999100040499132,0.0599640064794446,0.7846476544182689,-0.006666345511296745,-0.006659764306791466,0.00012295176863330592,0.009423785875931708
4,0.07331220176632525,0.07326671811711226,0.7843197049409248,0.07997866837326832,0.07991469396917268,0.7841215594114672,-0.006666466606943075,-0.006647975852060423,0.0001981455294576273,0.00941682651437891
5,0.09329125487945172,0.09320272448011524,0.7837178009089134,0.09995833854135666,0.09983341664682815,0.7834442486492034,-0.006667083661904938,-0.006630692166712915,0.0002735522597100415,0.009406960933443927
6,0.11325981798403902,0.11310429125098942,0.7829642902440518,0.11992801295888919,0.11971220728891936,0.7826150424646705,-0.006668194974850175,-0.006607916037929942,0.0003492477793812787,0.009394219105298302
7,0.13321589604577463,0.13296346385169436,0.7820584158649153,0.13988569467506554,0.1395431146442365,0.7816331073758956,-0.006669798629290902,-0.0065796507925421355,0.0004253084890196712,0.009378640925951016
8,0.1531574954531117,0.15277230632525576,0.7809992659333412,0.1598293879383454,0.15931820661424598,0.7804974544099562,-0.006671892485233699,-0.006545900288990214,0.0005018115233850207,0.009360276423958968
9,0.17308262422710216,0.17252290451876123,0.7797857720210674,0.17975709839602208,0.17902957342582415,0.7792069371144732,-0.006674474168919919,-0.006506668907062918,0.0005788349065941611,0.009339186021640775
10,0.19298929223305758,0.19220736925964668,0.7784167069614996,0.1996668332936563,0.19866933079506124,0.7777602492524496,-0.0066775410605987295,-0.006461961535414562,0.0006564577090499846,0.009315440849736017
11,0.19626355119745392,0.19543622626555443,0.7780805200207512,0.21955660167434962,0.21822962308086932,0.7761559221759956,-0.0232930504768957,-0.022793396815314892,0.0019245978447556267,0.03264673361553428
12,0.19953889547635767,0.19866398232591306,0.7777443330800029,0.23942441457783872,0.23770262642713458,0.774392321873985,-0.039885519101481054,-0.039038644101221515,0.003352011206017913,0.055911594024689704
13,0.20281532469958397,0.20189063707591626,0.7774081461392546,0.2592682852393897,0.2570805518921551,0.7724676456882399,-0.05645296053980575,-0.05518991481623886,0.004940500451014684,0.07910292027377398
14,0.20609283849682536,0.20511619015088212,0.7770719591985062,0.279086229288473,0.27635564856411376,0.7703799186924472,-0.07299339079164763,-0.07123945841323165,0.006692040506059094,0.10221486653323715
15,0.20937143649765177,0.2083406411862533,0.7767357722577579,0.29887626494719843,0.29552020666133955,0.7681269897276758,-0.08950482844954666,-0.08717956547508623,0.008608782530082126,0.125241774535727
16,0.21423571162101437,0.21312136546246208,0.7761719026865413,0.31863641322849195,0.31456656061611776,0.7657065270881165,-0.10440070160747758,-0.10144519515365569,0.010465375598424864,0.14594573718445142
17,0.21910268167588642,0.21789934616207512,0.7756080331153248,0.33836469813399206,0.33348709214081446,0.7631160138505118,-0.11926201645810564,-0.11558774597873933,0.012492019264813026,0.16655331319253752
18,0.22397234511482023,0.22267458176593882,0.7750441635441082,0.35805914685164836,0.35227423327509,0.760352742840698,-0.13408680173682813,-0.12959965150915118,0.01469142070341023,0.18705928983503994
19,0.2288447003895117,0.22744707075577233,0.7744802939728916,0.37771778995300115,0.3709204694129827,0.7574138112307743,-0.14887308956348944,-0.14347339865721034,0.017066482742117306,0.20745861696159199
20,0.23371974595080097,0.2322168116141681,0.7739164244016751,0.39733866159012243,0.38941834230865047,0.754296114760662,-0.16361891563932146,-0.15720153069448237,0.019620309641013023,0.22774641019802028
21,0.23997181221258967,0.23832693223511717,0.773080132268256,0.4169197996921991,0.40776045305957015,0.7509963415782595,-0.17694798747960944,-0.16943352082445298,0.022083790689996552,0.2459796781510496
22,0.2462289861332932,0.24443182216618156,0.7722438401348369,0.43645924616173865,0.4259394650659996,0.74751096569306,-0.19023026002844545,-0.18150764289981805,0.024732874441776964,0.26409144503313725
23,0.25249126333674116,0.2505314771376959,0.7714075480014179,0.4559550470703768,0.44394810696551984,0.7438362400390204,-0.20346378373363566,-0.19341662982782393,0.027571307962397484,0.282077437963263
24,0.258758639443194,0.25662589288365617,0.7705712558679988,0.47540525285426916,0.46177917554148284,0.7399681891436981,-0.21664661341107516,-0.20515328265782667,0.030603066724300687,0.2999336129557706
25,0.26503111006934604,0.26271506514172244,0.7697349637345797,0.4948079185090459,0.479425538604203,0.7359026014022606,-0.22977680843969983,-0.21671047346248057,0.03383236233231912,0.31765616591851686
26,0.27220907806673117,0.2696716231295625,0.7685818850302102,0.5141611037843102,0.49688013784373675,0.7316350209569904,-0.24195202571757907,-0.22720851471417425,0.03694686407321979,0.3339604208170575
27,0.27939506274933174,0.27661989973251205,0.7674288063258407,0.5334628733776623,0.5141359916531132,0.7271607391854021,-0.25406781062833056,-0.23751609192060114,0.04026806714043851,0.3501226407274108
28,0.28658905456273187,0.2835598857122096,0.7662757276214711,0.5527112971282275,0.5311861979208834,0.7224747858031536,-0.26612224256549566,-0.24762631220867382,0.04380094181831751,0.36613981071487944
